t,s,d,j,i,valor
42,3,15,1,10,1.0
42,3,15,2,10,1.0
42,3,16,1,10,1.0
42,3,16,2,10,1.0
42,3,19,1,10,1.0
42,3,19,2,10,1.0
42,3,23,1,10,1.0
42,3,26,1,10,1.0
42,3,28,1,10,1.0
42,3,30,2,10,1.0
43,1,6,1,26,1.0
43,1,7,1,26,1.0
43,2,6,2,10,1.0
43,2,8,1,10,1.0
43,2,9,2,10,1.0
43,2,10,1,10,1.0
43,2,15,2,10,1.0
43,2,16,1,10,1.0
43,2,17,1,10,1.0
43,2,19,1,10,1.0
43,2,19,2,10,1.0
43,2,22,1,10,1.0
43,2,27,1,10,1.0
43,2,27,2,10,1.0
43,3,5,1,10,1.0
43,3,5,2,10,1.0
43,3,13,1,10,1.0
43,3,13,2,10,1.0
43,3,14,1,10,1.0
43,3,14,2,10,1.0
43,3,29,2,10,1.0
43,3,30,1,10,1.0
44,2,27,1,6,1.0
44,3,5,1,6,1.0
44,3,5,2,6,1.0
44,3,6,1,6,1.0
44,3,7,1,6,1.0
44,3,7,2,6,1.0
44,3,8,1,6,1.0
44,3,8,2,6,1.0
44,3,9,1,6,1.0
44,3,13,1,6,1.0
44,3,13,2,6,1.0
44,3,14,2,6,1.0
44,3,15,1,6,1.0
44,3,15,2,6,1.0
44,3,16,1,6,1.0
44,3,19,1,6,1.0
44,3,19,2,6,1.0
44,3,21,1,6,1.0
44,3,22,1,6,1.0
44,3,22,2,6,1.0
44,3,23,1,6,1.0
44,3,23,2,6,1.0
44,3,26,1,6,1.0
44,3,26,2,6,1.0
44,3,28,1,6,1.0
44,3,28,2,6,1.0
44,3,29,1,6,1.0
44,3,29,2,6,1.0
45,1,9,1,26,1.0
45,2,16,1,10,1.0
45,2,16,2,10,1.0
45,2,19,1,10,1.0
45,2,29,1,10,1.0
45,2,29,2,10,1.0
45,2,30,1,10,1.0
45,3,8,1,10,1.0
45,3,8,2,10,1.0
45,3,17,1,10,1.0
45,3,20,1,10,1.0
45,3,21,2,10,1.0
45,3,22,2,10,1.0
45,3,23,2,10,1.0
45,3,26,2,10,1.0
45,3,27,1,10,1.0
45,3,28,2,10,1.0
